,Fig. NO.,Part NO.,Description,Remarks
0,HN1,Buy,"NUT, M6",15/04/2013 15/04/2013
1,HN1,Buy,"NUT, M6",15/04/2013 15/04/2013
2,HN2,Buy,"NUT, M6",15/04/2013 15/04/2013
3,HN2,Buy,"NUT, M6 X 1",15/04/2013 15/04/2013
4,HS1,Buy,"SCREW, M8 X 27MM",15/04/2013 15/04/2013
5,HS1,Buy,"SCREW, M8 X 27MM",15/04/2013 15/04/2013
6,7B229,Buy,BRACKET,15/04/2013 - 14/07/2013 15/04/2013 - 14/07/2013
7,7B229,Buy,BRACKET,15/04/2013 15/04/2013
8,7B229,Buy,BRACKET,14/07/2013 14/07/2013
9,7B229,Buy,BRACKET,15/04/2013 - 14/07/2013 15/04/2013 - 14/07/2013
10,7B229,Buy,BRACKET,15/04/2013 15/04/2013
11,7B229,Buy,BRACKET,14/07/2013 14/07/2013
12,7E034,Buy,BEZEL,15/04/2013 - 20/02/2014 15/04/2013 - 20/02/2014
13,7E034,Buy,BEZEL,15/04/2013 - 21/02/2014 15/04/2013 - 21/02/2014
14,7E034,Buy,BEZEL,20/02/2014 20/02/2014
15,7E034,Buy,BEZEL,21/02/2014 21/02/2014
16,7E034,Buy,BEZEL,15/04/2013 - 20/02/2014 15/04/2013 - 20/02/2014
17,7E034,Buy,BEZEL,15/04/2013 - 21/02/2014 15/04/2013 - 21/02/2014
18,7E034,Buy,BEZEL,20/02/2014 20/02/2014
19,7E034,Buy,BEZEL,21/02/2014 21/02/2014
20,7E395,Buy,CABLE ASSY - SELECTOR LEVER CONTROL,30/04/2013 - 29/07/2013 30/04/2013 - 29/07/2013
21,7E395,Buy,CABLE ASSY - SELECTOR LEVER CONTROL,29/07/2013 29/07/2013
22,7E395,Buy,CABLE ASSY - SELECTOR LEVER CONTROL,15/04/2013 - 30/04/2013 15/04/2013 - 30/04/2013
23,7E395,Buy,CABLE ASSY - SELECTOR LEVER CONTROL,30/04/2013 - 29/07/2013 30/04/2013 - 29/07/2013
24,7E395,Buy,CABLE ASSY - SELECTOR LEVER CONTROL,29/07/2013 29/07/2013
25,7E395,Buy,CABLE ASSY - SELECTOR LEVER CONTROL,15/04/2013 - 30/04/2013 15/04/2013 - 30/04/2013
26,7E401,Buy,CAP,15/04/2013 15/04/2013
27,7E401,Buy,CAP,15/04/2013 15/04/2013
28,7K004,Buy,LEVER - GEAR SHIFT,15/04/2013 - 20/02/2014 15/04/2013 - 20/02/2014
29,7K004,Buy,LEVER - GEAR SHIFT,15/04/2013 - 21/02/2014 15/04/2013 - 21/02/2014
30,7K004,Buy,LEVER - GEAR SHIFT,30/09/2014 30/09/2014
31,7K004,Buy,LEVER - GEAR SHIFT,20/02/2014 - 30/09/2014 20/02/2014 - 30/09/2014
32,7K004,Buy,LEVER - GEAR SHIFT,21/02/2014 - 07/03/2015 21/02/2014 - 07/03/2015
33,7K004,Buy,LEVER - GEAR SHIFT,07/03/2015 - 13/10/2016 07/03/2015 - 13/10/2016
34,7K004,Buy,LEVER - GEAR SHIFT,05/12/2016 05/12/2016
35,7K004,Buy,LEVER - GEAR SHIFT,13/10/2016 13/10/2016
36,7K004,Buy,LEVER - GEAR SHIFT,15/04/2013 - 20/02/2014 15/04/2013 - 20/02/2014
37,7K004,Buy,LEVER - GEAR SHIFT,15/04/2013 - 21/02/2014 15/04/2013 - 21/02/2014
38,7K004,Buy,LEVER - GEAR SHIFT,30/09/2014 30/09/2014
39,7K004,Buy,LEVER - GEAR SHIFT,20/02/2014 - 30/09/2014 20/02/2014 - 30/09/2014
40,7K004,Buy,LEVER - GEAR SHIFT,21/02/2014 - 07/03/2015 21/02/2014 - 07/03/2015
41,7K004,Buy,LEVER - GEAR SHIFT,07/03/2015 - 13/10/2016 07/03/2015 - 13/10/2016
42,7L010,Buy,HANDLE ASSY,15/04/2013 - 20/02/2014 15/04/2013 - 20/02/2014
43,7L010,Buy,HANDLE ASSY,15/04/2013 15/04/2013
44,7L010,Buy,HANDLE ASSY,20/02/2014 - 18/10/2016 20/02/2014 - 18/10/2016
45,7L010,Buy,HANDLE ASSY,18/10/2016 18/10/2016
46,7L010,Buy,HANDLE ASSY,15/04/2013 - 20/02/2014 15/04/2013 - 20/02/2014
47,7L010,Buy,HANDLE ASSY,15/04/2013 15/04/2013
48,7L010,Buy,HANDLE ASSY,20/02/2014 - 18/10/2016 20/02/2014 - 18/10/2016
