,Fig. NO.,Part NO.,Description,Qty.,Remarks
0,HB1,Buy,"BOLT, M8 X 15MM",1,15/04/2013 15/04/2013
1,HB1,Buy,"BOLT, M8X15MM",1,15/04/2013 15/04/2013
2,7A256,Buy,LEVER ASSY - MANUAL CONTROL,1,15/04/2013 15/04/2013
3,7A256,Buy,LEVER ASSY - MANUAL CONTROL,1,15/04/2013 15/04/2013
4,7A441A,Buy,PAWL,1,15/04/2013 - 14/01/2015 15/04/2013 - 14/01/2015
5,7A441A,Buy,PAWL ASSY - PARKING,1,14/01/2015 - 13/04/2015 14/01/2015 - 13/04/2015
6,7A441A,Buy,PAWL,1,15/04/2013 - 14/01/2015 15/04/2013 - 14/01/2015
7,7A441A,Buy,PAWL ASSY - PARKING,1,14/01/2015 - 13/04/2015 14/01/2015 - 13/04/2015
8,7A441B,Buy,PAWL ASSY - PARKING,1,13/04/2015 13/04/2015
9,7F293,Buy,SOLENOID ASSY,1,15/04/2013 15/04/2013
10,7F293,Buy,SOLENOID ASSY,1,15/04/2013 15/04/2013
11,7H296,Buy,LINK,1,15/04/2013 - 14/01/2015 15/04/2013 - 14/01/2015
12,7H296,Buy,LINK,1,15/04/2013 - 14/01/2015 15/04/2013 - 14/01/2015
13,6397,Buy,DOWEL - PIN,1,15/04/2013 15/04/2013
14,6397,Buy,DOWEL - PIN,1,15/04/2013 15/04/2013
15,7233,Buy,PLUNGER - GEAR CHANGE SHAFT LOCK,1,15/04/2013 15/04/2013
16,7233,Buy,PLUNGER - GEAR CHANGE SHAFT LOCK,1,15/04/2013 15/04/2013
